Time,Condition,Row,Column,Sorted status,In Regions,Gate,TOF,Extinction,Green
T0,High +,A,1,1,10011,R5,2269,2787,312
T0,High +,A,1,1,10111,R5,1835,2851,109
T0,High +,A,1,1,10011,R5,2332,2705,289
T0,High +,A,1,1,10011,R5,2088,2839,261
T0,High +,A,1,1,10011,R5,2049,2767,347
T0,High +,A,1,1,10011,R5,2385,3269,532
T0,High +,A,1,1,10111,R5,2140,2630,59.4
T0,High +,A,1,1,10111,R5,1722,1836,49
T0,High +,A,1,1,10011,R5,1448,2158,318
T0,High +,A,1,1,10011,R5,1910,2370,369
T0,High +,A,1,1,10011,R5,1855,2232,368
T0,High +,A,1,1,10011,R5,1883,2092,459
T0,High +,A,1,1,10011,R5,2280,3198,493
T0,High +,A,1,1,10011,R5,1852,2857,472
T0,High +,A,1,1,10011,R5,2470,3383,224
T0,High +,A,1,1,10011,R5,1626,2044,487
T0,High +,A,1,1,10011,R5,2403,3134,530
T0,High +,A,1,1,10011,R5,2138,2380,458
T0,High +,A,1,1,10011,R5,1570,2298,139
T0,High +,A,1,1,10011,R5,2217,2836,196
T0,High +,A,1,1,10011,R5,2524,3189,320
T0,High +,A,1,1,10011,R5,2385,2359,245
T0,High +,A,1,1,10011,R5,2371,3204,486
T0,High +,A,1,1,10011,R5,2214,2164,221
T0,High -,A,2,1,00011,R2,1448,2275,513
T0,High -,A,2,1,00011,R2,2228,3383,945
T0,High -,A,2,1,00011,R2,1309,1571,631
T0,High -,A,2,1,00011,R2,2202,2990,612
T0,High -,A,2,1,00011,R2,1954,2810,727
T0,High -,A,2,1,00011,R2,2121,3171,833
T0,High -,A,2,1,00011,R2,2133,2098,634
T0,High -,A,2,1,00011,R2,1830,2184,568
T0,High -,A,2,1,00011,R2,2321,3316,909
T0,High -,A,2,1,00011,R2,1974,2693,578
T0,High -,A,2,1,00011,R2,1592,2325,627
T0,High -,A,2,1,00011,R2,2176,3275,764
T0,High -,A,2,1,00011,R2,1619,2606,695
T0,High -,A,2,1,00011,R2,2099,3006,744
T0,High -,A,2,1,00011,R2,1662,2320,711
T0,High -,A,2,1,00011,R2,2105,2548,686
T0,High -,A,2,1,00011,R2,2366,2713,899
T0,High -,A,2,1,00011,R2,2329,2428,693
T0,High -,A,2,1,00011,R2,2396,3191,801
T0,High -,A,2,1,00011,R2,2163,2974,682
T0,High -,A,2,1,00011,R2,2184,3386,825
T0,High -,A,2,1,00011,R2,1917,2334,644
T0,High -,A,2,1,00011,R2,2144,2683,950
T0,High -,A,2,1,00011,R2,2117,2278,667
T0,High -,A,2,1,00011,R2,2063,2608,641
T0,High -,A,2,1,00011,R2,2157,2872,931
T0,High -,A,2,1,00011,R2,2227,2969,757
T0,High -,A,2,1,00011,R2,2098,2600,571
T0,High -,A,2,1,00011,R2,1350,1943,795
T0,High -,A,2,1,00011,R2,2030,2709,571
T0,High -,A,2,1,00011,R2,2487,3425,921
T0,High -,A,2,1,00011,R2,1997,2937,562
T0,High -,A,2,1,00011,R2,1880,1987,746
T0,High -,A,2,1,00011,R2,1901,2773,797
T0,High -,A,2,1,00011,R2,2436,2933,932
T0,High -,A,2,1,00011,R2,1805,2220,677
T0,High -,A,2,1,00111,R3,1579,1131,18.7
T0,High -,A,2,0,01011,R4,2010,2588,2690
T0,High -,A,2,6,01011,R4,1976,1990,3188
T0,High -,A,2,9,01011,R4,2285,2820,3673
T0,High -,A,2,6,01011,R4,1595,2323,1618
T0,High -,A,2,10,01011,R4,2332,3345,1056
T0,High -,A,2,6,01011,R4,2453,3142,2116
T0,High -,A,2,6,01011,R4,1997,2674,1507
T0,High -,A,2,6,01011,R4,1637,2510,2274
T0,High -,A,2,6,01011,R4,2252,3130,2352
T0,High -,A,2,6,01011,R4,2377,1995,2065
T0,High -,A,2,6,01011,R4,1792,2122,2038
T0,High -,A,2,9,01011,R4,2462,3170,2562
T0,High -,A,2,6,01011,R4,2095,2253,1222
T0,High -,A,2,6,01011,R4,1870,1802,2760
T0,High -,A,2,6,01011,R4,1903,2801,2893
T0,High -,A,2,6,01011,R4,1618,2212,1971
T0,High -,A,2,6,01011,R4,2185,2848,2095
T0,High -,A,2,6,01011,R4,2197,2474,3050
T0,High -,A,2,13,01011,R4,1837,2599,2032
T0,High -,A,2,6,01011,R4,2178,2671,3924
T0,High -,A,2,6,01011,R4,1875,2700,3052
T0,High -,A,2,6,01011,R4,1435,2319,1508
T0,High -,A,2,6,01011,R4,1937,2396,1607
T0,High -,A,2,6,01011,R4,2021,2780,1582
T0,High -,A,2,9,01011,R4,2062,2485,1034
T0,High -,A,2,6,01011,R4,1941,2133,1096
T0,High -,A,2,6,01011,R4,1446,2152,2220
T0,High -,A,2,6,01011,R4,1870,1903,993
T0,High -,A,2,6,01011,R4,2196,3058,1725
T0,High -,A,2,6,01011,R4,1819,2136,929
T0,High -,A,2,6,01011,R4,2008,3038,1741
T0,High -,A,2,6,01011,R4,1860,1958,1153
T0,High -,A,2,6,01011,R4,2464,3501,1133
T0,High -,A,2,6,01011,R4,2045,2847,1344
T0,High -,A,2,6,01011,R4,1778,2042,1770
T0,High -,A,2,6,01011,R4,2075,2853,1165
T0,High -,A,2,10,01011,R4,1721,2291,939
T0,High -,A,2,6,01011,R4,1675,2424,1210
T0,High -,A,2,6,01011,R4,2518,2913,1891
