MYbSp,Time,CFU,logCFU
MYb238,12,0,0
MYb238,12,2000,3.301029996
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,200,2.301029996
MYb238,12,0,0
MYb238,12,800,2.903089987
MYb238,12,0,0
MYb238,12,0,0
MYb238,12,200,2.301029996
MYb238,12,0,0
MYb238,12,600,2.77815125
MYb238,12,800,2.903089987
MYb238,12,200,2.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,800,2.903089987
MYb238,18,600,2.77815125
MYb238,18,0,0
MYb238,18,5600,3.748188027
MYb238,18,2000,3.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,400,2.602059991
MYb238,18,20,1.301029996
MYb238,18,0,0
MYb238,18,60,1.77815125
MYb238,18,400,2.602059991
MYb238,18,0,0
MYb238,18,3000,3.477121255
MYb238,18,20,1.301029996
MYb238,18,2800,3.447158031
MYb238,18,0,0
MYb238,18,200,2.301029996
MYb238,18,0,0
MYb238,18,0,0
MYb238,18,800,2.903089987
MYb238,24,120,2.079181246
MYb238,24,40,1.602059991
MYb238,24,20,1.301029996
MYb238,24,40,1.602059991
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,0,0
MYb238,24,600,2.77815125
MYb238,24,3000,3.477121255
MYb238,24,2000,3.301029996
MYb238,24,6800,3.832508913
MYb238,24,100,2
MYb238,24,380,2.579783597
MYb238,24,0,0
MYb238,24,220,2.342422681
MYb238,24,200,2.301029996
MYb238,24,400,2.602059991
MYb238,24,NA,NA
MYb238,24,NA,NA
MYb238,36,980,2.991226076
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,300,2.477121255
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,440,2.643452676
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,0,0
MYb238,36,6000,3.77815125
MYb238,36,0,0
MYb238,36,3200,3.505149978
MYb238,36,0,0
MYb238,36,60,1.77815125
MYb238,36,3200,3.505149978
MYb238,36,140,2.146128036
MYb238,36,9000,3.954242509
MYb238,36,0,0
MYb238,36,100,2
MYb238,36,10000,4
MYb238,36,0,0
MYb238,36,140,2.146128036
MYb238,36,13200,4.120573931
MYb238,42,60,1.77815125
MYb238,42,580,2.763427994
MYb238,42,9200,3.963787827
MYb238,42,20,1.301029996
MYb238,42,80,1.903089987
MYb238,42,20,1.301029996
MYb238,42,40,1.602059991
MYb238,42,0,0
MYb238,42,40,1.602059991
MYb238,42,0,0
MYb238,42,0,0
MYb238,42,0,0
MYb238,42,20,1.301029996
MYb238,42,0,0
MYb238,42,0,0
MYb238,42,0,0
MYb238,42,1000,3
MYb238,42,2600,3.414973348
MYb238,42,40,1.602059991
MYb238,42,0,0
MYb238,42,480,2.681241237
MYb238,42,40,1.602059991
MYb238,42,3000,3.477121255
MYb238,42,21800,4.338456494
MYb238,48,40,1.602059991
MYb238,48,40,1.602059991
MYb238,48,120,2.079181246
MYb238,48,40,1.602059991
MYb238,48,140,2.146128036
MYb238,48,20,1.301029996
MYb238,48,240,2.380211242
MYb238,48,40,1.602059991
MYb238,48,620,2.792391689
MYb238,48,20,1.301029996
MYb238,48,0,0
MYb238,48,20,1.301029996
MYb238,48,820,2.913813852
MYb238,48,280,2.447158031
MYb238,48,40,1.602059991
MYb238,48,140,2.146128036
MYb238,48,20,1.301029996
MYb238,48,0,0
MYb238,48,40,1.602059991
MYb238,48,80,1.903089987
MYb238,48,160,2.204119983
MYb238,48,0,0
MYb238,48,7200,3.857332496
MYb238,48,40,1.602059991
