MYbSp,Time,CFU,logCFU
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,88,1.944482672
MYb53,3,442,2.645422269
MYb53,3,0,0
MYb53,3,4,0.602059991
MYb53,3,52,1.716003344
MYb53,3,0,0
MYb53,3,42,1.62324929
MYb53,3,4,0.602059991
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,0,0
MYb53,3,18,1.255272505
MYb53,3,0,0
MYb53,3,2,0.301029996
MYb53,3,16,1.204119983
MYb53,3,0,0
MYb53,3,86,1.934498451
MYb53,3,32,1.505149978
MYb53,12,580,2.763427994
MYb53,12,120,2.079181246
MYb53,12,300,2.477121255
MYb53,12,80,1.903089987
MYb53,12,0,0
MYb53,12,800,2.903089987
MYb53,12,40,1.602059991
MYb53,12,2000,3.301029996
MYb53,12,140,2.146128036
MYb53,12,260,2.414973348
MYb53,12,40,1.602059991
MYb53,12,200,2.301029996
MYb53,12,1600,3.204119983
MYb53,12,4000,3.602059991
MYb53,12,20,1.301029996
MYb53,12,280,2.447158031
MYb53,12,280,2.447158031
MYb53,12,60,1.77815125
MYb53,12,0,0
MYb53,12,340,2.531478917
MYb53,12,0,0
MYb53,12,660,2.819543936
MYb53,12,200,2.301029996
MYb53,12,7600,3.880813592
MYb53,18,580,2.763427994
MYb53,18,1020,3.008600172
MYb53,18,400,2.602059991
MYb53,18,240,2.380211242
MYb53,18,300,2.477121255
MYb53,18,600,2.77815125
MYb53,18,160,2.204119983
MYb53,18,1800,3.255272505
MYb53,18,440,2.643452676
MYb53,18,3000,3.477121255
MYb53,18,4200,3.62324929
MYb53,18,880,2.944482672
MYb53,18,480,2.681241237
MYb53,18,22000,4.342422681
MYb53,18,340,2.531478917
MYb53,18,4400,3.643452676
MYb53,18,3600,3.556302501
MYb53,18,840,2.924279286
MYb53,18,780,2.892094603
MYb53,18,1080,3.033423755
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,18,NA,NA
MYb53,24,2800,3.447158031
MYb53,24,580,2.763427994
MYb53,24,820,2.913813852
MYb53,24,2400,3.380211242
MYb53,24,800,2.903089987
MYb53,24,600,2.77815125
MYb53,24,2400,3.380211242
MYb53,24,160,2.204119983
MYb53,24,140,2.146128036
MYb53,24,4000,3.602059991
MYb53,24,580,2.763427994
MYb53,24,520,2.716003344
MYb53,24,80,1.903089987
MYb53,24,760,2.880813592
MYb53,24,0,0
MYb53,24,260,2.414973348
MYb53,24,820,2.913813852
MYb53,24,260,2.414973348
MYb53,24,440,2.643452676
MYb53,24,380,2.579783597
MYb53,24,480,2.681241237
MYb53,24,340,2.531478917
MYb53,24,320,2.505149978
MYb53,24,440,2.643452676
MYb53,36,80,1.903089987
MYb53,36,20,1.301029996
MYb53,36,3600,3.556302501
MYb53,36,3400,3.531478917
MYb53,36,1800,3.255272505
MYb53,36,8600,3.934498451
MYb53,36,2400,3.380211242
MYb53,36,500,2.698970004
MYb53,36,8400,3.924279286
MYb53,36,960,2.982271233
MYb53,36,780,2.892094603
MYb53,36,140,2.146128036
MYb53,36,4400,3.643452676
MYb53,36,940,2.973127854
MYb53,36,100,2
MYb53,36,18000,4.255272505
MYb53,36,54000,4.73239376
MYb53,36,900,2.954242509
MYb53,36,720,2.857332496
MYb53,36,700,2.84509804
MYb53,36,1600,3.204119983
MYb53,36,5000,3.698970004
MYb53,36,7600,3.880813592
MYb53,36,48000,4.681241237
MYb53,42,600,2.77815125
MYb53,42,4800,3.681241237
MYb53,42,16000,4.204119983
MYb53,42,2600,3.414973348
MYb53,42,7200,3.857332496
MYb53,42,28000,4.447158031
MYb53,42,1800,3.255272505
MYb53,42,54000,4.73239376
MYb53,42,2000,3.301029996
MYb53,42,520,2.716003344
MYb53,42,5000,3.698970004
MYb53,42,4200,3.62324929
MYb53,42,440,2.643452676
MYb53,42,900,2.954242509
MYb53,42,9600,3.982271233
MYb53,42,7200,3.857332496
MYb53,42,54000,4.73239376
MYb53,42,4800,3.681241237
MYb53,42,4600,3.662757832
MYb53,42,680,2.832508913
MYb53,42,2600,3.414973348
MYb53,42,22000,4.342422681
MYb53,42,2800,3.447158031
MYb53,42,6000,3.77815125
MYb53,48,1480,3.170261715
MYb53,48,540,2.73239376
MYb53,48,116000,5.064457989
MYb53,48,38000,4.579783597
MYb53,48,5000,3.698970004
MYb53,48,2800,3.447158031
MYb53,48,20,1.301029996
MYb53,48,2800,3.447158031
MYb53,48,2200,3.342422681
MYb53,48,2400,3.380211242
MYb53,48,2000,3.301029996
MYb53,48,70000,4.84509804
MYb53,48,940,2.973127854
MYb53,48,4200,3.62324929
MYb53,48,42000,4.62324929
MYb53,48,720,2.857332496
MYb53,48,1560,3.193124598
MYb53,48,440,2.643452676
MYb53,48,980,2.991226076
MYb53,48,11200,4.049218023
MYb53,48,8000,3.903089987
MYb53,48,1800,3.255272505
MYb53,48,4000,3.602059991
MYb53,48,36000,4.556302501
