MYbSp,Time,CFU,logCFU
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,120,2.079181246
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,20,1.301029996
MYb45,12,0,0
MYb45,12,0,0
MYb45,12,160,2.204119983
MYb45,18,1800,3.255272505
MYb45,18,20,1.301029996
MYb45,18,0,0
MYb45,18,1800,3.255272505
MYb45,18,0,0
MYb45,18,980,2.991226076
MYb45,18,200,2.301029996
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,900,2.954242509
MYb45,18,0,0
MYb45,18,3600,3.556302501
MYb45,18,0,0
MYb45,18,180,2.255272505
MYb45,18,140,2.146128036
MYb45,18,380,2.579783597
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,0,0
MYb45,18,540,2.73239376
MYb45,18,0,0
MYb45,18,3000,3.477121255
MYb45,24,12000,4.079181246
MYb45,24,6400,3.806179974
MYb45,24,0,0
MYb45,24,6200,3.792391689
MYb45,24,480,2.681241237
MYb45,24,0,0
MYb45,24,0,0
MYb45,24,4800,3.681241237
MYb45,24,5200,3.716003344
MYb45,24,160,2.204119983
MYb45,24,8400,3.924279286
MYb45,24,8200,3.913813852
MYb45,24,7400,3.86923172
MYb45,24,5600,3.748188027
MYb45,24,34000,4.531478917
MYb45,24,4400,3.643452676
MYb45,24,20,1.301029996
MYb45,24,7800,3.892094603
MYb45,24,8800,3.944482672
MYb45,24,700,2.84509804
MYb45,24,3600,3.556302501
MYb45,24,60,1.77815125
MYb45,24,34000,4.531478917
MYb45,24,100,2
MYb45,36,0,0
MYb45,36,40,1.602059991
MYb45,36,1580,3.198657087
MYb45,36,0,0
MYb45,36,160000,5.204119983
MYb45,36,164000,5.214843848
MYb45,36,16800,4.225309282
MYb45,36,158000,5.198657087
MYb45,36,40,1.602059991
MYb45,36,68000,4.832508913
MYb45,36,0,0
MYb45,36,80,1.903089987
MYb45,36,9800,3.991226076
MYb45,36,7400,3.86923172
MYb45,36,20,1.301029996
MYb45,36,840,2.924279286
MYb45,36,0,0
MYb45,36,15400,4.187520721
MYb45,36,380,2.579783597
MYb45,36,36000,4.556302501
MYb45,36,14400,4.158362492
MYb45,36,96000,4.982271233
MYb45,36,920,2.963787827
MYb45,36,40,1.602059991
MYb45,42,16000,4.204119983
MYb45,42,120,2.079181246
MYb45,42,4400,3.643452676
MYb45,42,82000,4.913813852
MYb45,42,40,1.602059991
MYb45,42,2400,3.380211242
MYb45,42,8400,3.924279286
MYb45,42,0,0
MYb45,42,220,2.342422681
MYb45,42,64000,4.806179974
MYb45,42,80,1.903089987
MYb45,42,2600,3.414973348
MYb45,42,15000,4.176091259
MYb45,42,132000,5.120573931
MYb45,42,24000,4.380211242
MYb45,42,200,2.301029996
MYb45,42,26000,4.414973348
MYb45,42,940,2.973127854
MYb45,42,216000,5.334453751
MYb45,42,72000,4.857332496
MYb45,42,0,0
MYb45,42,100000,5
MYb45,42,30000,4.477121255
MYb45,42,4000,3.602059991
MYb45,48,60,1.77815125
MYb45,48,146000,5.164352856
MYb45,48,7400,3.86923172
MYb45,48,8000,3.903089987
MYb45,48,94000,4.973127854
MYb45,48,580,2.763427994
MYb45,48,30000,4.477121255
MYb45,48,0,0
MYb45,48,40000,4.602059991
MYb45,48,2800,3.447158031
MYb45,48,0,0
MYb45,48,74000,4.86923172
MYb45,48,1260,3.100370545
MYb45,48,164000,5.214843848
MYb45,48,34000,4.531478917
MYb45,48,420,2.62324929
MYb45,48,72000,4.857332496
MYb45,48,26000,4.414973348
MYb45,48,0,0
MYb45,48,0,0
MYb45,48,60,1.77815125
MYb45,48,174000,5.240549248
MYb45,48,NA,NA
MYb45,48,NA,NA
