Condition,timefit,Time,Gate,TOF,Extinction,Green,logGreen
CM25,0,T0,R5,2317,2875,436,6.077642243
CM25,0,T0,R2,2165,3055,629,6.444131257
CM25,0,T0,R5,2510,3691,492,6.198478716
CM25,0,T0,R5,2215,2551,347,5.84932478
CM25,0,T0,R5,1811,2797,130,4.86753445
CM25,0,T0,R4,2109,2687,1271,7.147559271
CM25,0,T0,R2,1731,2624,522,6.257667588
CM25,0,T0,R4,2467,3056,2869,7.961718816
CM25,0,T0,R5,2368,2989,117,4.762173935
CM25,0,T0,R4,1860,2576,1278,7.153051635
CM25,0,T0,R5,2401,3073,502,6.21860012
CM25,0,T0,R2,2352,2832,610,6.413458957
CM25,0,T0,R4,2695,3385,1370,7.222566019
CM25,0,T0,R4,2252,3063,1324,7.188412736
CM25,0,T0,R5,2041,2537,125,4.828313737
CM25,0,T0,R2,2228,2913,1012,6.91968385
CM25,0,T0,R5,1917,2070,393,5.973809612
CM25,0,T0,R4,2543,3332,2450,7.803843304
CM25,0,T0,R2,1961,2571,515,6.244166901
CM25,0,T0,R2,1971,3042,1119,7.020190708
CM25,0,T0,R2,2160,2817,947,6.853299093
CM25,0,T0,R4,2679,3482,2217,7.70391021
CM25,0,T0,R5,1668,2535,321,5.771441123
CM25,0,T0,R2,1642,2332,920,6.82437367
CM25,0,T0,R5,2154,2589,482,6.177944114
CM25,0,T0,R5,2423,3254,493,6.200509174
CM25,0,T0,R4,2205,3335,1844,7.519692404
CM25,0,T0,R5,2187,3141,203,5.313205979
CM25,0,T0,R5,1815,2907,317,5.758901774
CM25,0,T0,R4,2358,2669,1949,7.5750717
CM25,0,T0,R4,2698,3354,2488,7.819234454
CM25,0,T0,R4,2484,3103,3806,8.244334048
CM25,0,T0,R2,2235,2611,746,6.6147256
CM25,0,T0,R4,2339,3181,3585,8.184513753
CM25,0,T0,R2,2814,3110,962,6.869014451
CM25,0,T0,R5,2434,3318,466,6.144185634
CM25,0,T0,R4,2983,3659,2100,7.649692624
CM25,0,T0,R4,2189,2986,1804,7.497761701
CM25,0,T0,R5,2098,2924,222,5.402677382
CM25,0,T0,R5,2210,2343,248,5.513428746
CM25,0,T0,R4,2552,3311,2488,7.819234454
CM25,0,T0,R2,3339,3345,5102,8.537387899
CM25,0,T0,R4,2417,2622,2539,7.839525582
CM25,0,T0,R5,2584,3129,88.2,4.479606963
CM25,0,T0,R2,1892,2974,705,6.558197803
CM25,0,T0,R4,1798,2212,2112,7.655390645
CM25,0,T0,R2,2349,3227,728,6.590301048
CM25,0,T0,R5,2503,2723,74,4.304065093
